metadata,icdcode,comorbidity
Name: elixhauser_icd                               ,I09.9,Congestive heart failure
Author: Marta Berglund      ,I11.0,Congestive heart failure
Date: 2025-25-13                                   ,I13.0,Congestive heart failure
Categories:                                        ,I13.2,Congestive heart failure
1. Congestive heart failure,I25.5,Congestive heart failure
2. Cardiac arrhythmias,I42.0,Congestive heart failure
3. Valvular disease,I42.5,Congestive heart failure
4. Pulmonary circulation disorders,I42.6,Congestive heart failure
5. Peripheral vascular disorders,I42.7,Congestive heart failure
6. Hypertension - uncomplicated,I42.8,Congestive heart failure
7. Hypertension - complicated,I42.9,Congestive heart failure
8. Paralysis,I43.%,Congestive heart failure
9. Other neurological disorders,I50.%,Congestive heart failure
10. Chronic pulmonary disease,P29.0,Congestive heart failure
11. Diabetes - uncomplicated,I44.1,Cardiac arrhythmias
12. Diabetes - complicated,I44.2,Cardiac arrhythmias
13. Hypothyroidism,I44.3,Cardiac arrhythmias
14. Renal Failure,I45.6,Cardiac arrhythmias
15. Liver disease,I45.9,Cardiac arrhythmias
16. Peptic ulcer disease - excluding bleeding,I47.%,Cardiac arrhythmias
17. AIDS/HIV,I48.%,Cardiac arrhythmias
18. Lymphoma,I49.%,Cardiac arrhythmias
19. Metastatic cancer,R00.0,Cardiac arrhythmias
20. Solid tumour without metastasis,R00.1,Cardiac arrhythmias
21. Rheumatoid arthritis/collagen vascular diseases,R00.8,Cardiac arrhythmias
22. Coagulopathy,T82.1,Cardiac arrhythmias
23. Obesity,Z45.0,Cardiac arrhythmias
24. Weight loss,Z95.0,Cardiac arrhythmias
25. Fluid and electrolyte disorders,A52.0,Valvular disease
26. Blood loss anaemia,I05.%,Valvular disease
27. Deficiency anaemia,I06.%,Valvular disease
28. Alcohol abuse,I07.%,Valvular disease
29. Drug abuse,I08.%,Valvular disease
30. Psychoses,I09.1,Valvular disease
31. Depression,I09.8,Valvular disease
,I34.%,Valvular disease
,I35.%,Valvular disease
,I36.%,Valvular disease
,I37.%,Valvular disease
,I38.%,Valvular disease
,I39.%,Valvular disease
,Q23.0,Valvular disease
,Q23.1,Valvular disease
,Q23.2,Valvular disease
,Q23.3,Valvular disease
,Z95.2,Valvular disease
,Z95.3,Valvular disease
,Z95.4,Valvular disease
,I26.%,Pulmonary circulation disorders
,I27.%,Pulmonary circulation disorders
,I28.0,Pulmonary circulation disorders
,I28.8,Pulmonary circulation disorders
,I28.9,Pulmonary circulation disorders
,I70.%,Peripheral vascular disorders
,I71.%,Peripheral vascular disorders
,I73.1,Peripheral vascular disorders
,I73.8,Peripheral vascular disorders
,I73.9,Peripheral vascular disorders
,I77.1,Peripheral vascular disorders
,I79.0,Peripheral vascular disorders
,I79.2,Peripheral vascular disorders
,K55.1,Peripheral vascular disorders
,K55.8,Peripheral vascular disorders
,K55.9,Peripheral vascular disorders
,Z95.8,Peripheral vascular disorders
,Z95.9,Peripheral vascular disorders
,I10.%,Hypertension - uncomplicated
,I11.%,Hypertension - complicated
,I12.%,Hypertension - complicated
,I13.%,Hypertension - complicated
,I15.%,Hypertension - complicated
,G04.1,Paralysis
,G11.4,Paralysis
,G80.1,Paralysis
,G80.2,Paralysis
,G81.%,Paralysis
,G82.%,Paralysis
,G83.0,Paralysis
,G83.1,Paralysis
,G83.2,Paralysis
,G83.3,Paralysis
,G83.4,Paralysis
,G83.9,Paralysis
,G10.%,Other neurological disorders
,G11.%,Other neurological disorders
,G12.%,Other neurological disorders
,G13.%,Other neurological disorders
,G20.%,Other neurological disorders
,G21.%,Other neurological disorders
,G22.%,Other neurological disorders
,G25.4,Other neurological disorders
,G25.5,Other neurological disorders
,G31.2,Other neurological disorders
,G31.8,Other neurological disorders
,G31.9,Other neurological disorders
,G32.%,Other neurological disorders
,G35.%,Other neurological disorders
,G36.%,Other neurological disorders
,G37.%,Other neurological disorders
,G40.%,Other neurological disorders
,G41.%,Other neurological disorders
,G93.1,Other neurological disorders
,G93.4,Other neurological disorders
,R47.0,Other neurological disorders
,R56.%,Other neurological disorders
,I27.8,Chronic pulmonary disease
,I27.9,Chronic pulmonary disease
,J40.%,Chronic pulmonary disease
